GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ElectionSimulator,com.app.electoral_district,ElectoralDistrict,0,147,0,0,0,25,0,1,0,1
ElectionSimulator,com.app.data_generators,DataGenerator,0,551,0,12,0,35,0,12,0,6
ElectionSimulator,com.app.elections,Elections,0,128,0,12,0,39,0,12,0,6
ElectionSimulator,com.app.candidate,CandidateMapper,0,6,0,0,0,1,0,2,0,2
ElectionSimulator,com.app.candidate,Candidate,0,32,0,0,0,13,0,4,0,4
ElectionSimulator,com.app.candidate,CandidateComparators,0,25,0,0,0,5,0,4,0,4
ElectionSimulator,com.app.candidate,CandidateValidator,0,83,0,18,0,20,0,10,0,1
ElectionSimulator,com.app.candidate,Validator,0,22,0,4,0,6,0,3,0,1
ElectionSimulator,com.app.voter,Voter,0,83,0,6,0,20,0,9,0,6
